,0
0,0.5584845594852715
1,0.6964014668153182
2,0.8514245033379451
3,0.9448869665668193
4,0.9655056617459401
5,0.9839348798474081
6,0.9865004634169274
7,0.9890526146117372
8,0.990248095960885
9,0.9818125646433034
10,0.9893212621059276
11,0.9939554313807137
12,0.991940575174285
13,0.9926927881580184
14,0.9934584335164615
15,0.994882265235671
16,0.994600185366771
17,0.9969374185662283
18,0.9969105538168093
19,0.9973941193063521
20,0.9985358711566619
21,0.9976627668005427
22,0.9969239861915189
23,0.998361250285438
24,0.9957016400929521
25,0.9993418136392332
26,0.9991403280185904
27,0.9988179510255618
28,0.998898545273819
29,0.9990328690209141
30,0.9986164654049189
31,0.9979314142947332
32,0.9981597646647952
33,0.9989119776485285
34,0.9990328690209143
35,0.9991940575174285
36,0.9992612193909761
37,0.9989657071473667
38,0.9991537603933
39,0.9993821107633619
40,0.9994895697610381
41,0.9995298668851667
42,0.9995567316345857
43,0.9995701640092952
44,0.9995701640092952
45,0.9996238935081333
46,0.9996641906322619
47,0.9996910553816809
48,0.9997044877563904
49,0.9997044877563904
50,0.9997044877563904
51,0.999744784880519
52,0.9997582172552285
53,0.9997582172552285
54,0.9997582172552285
55,0.9997850820046476
56,0.9997985143793571
57,0.9997985143793571
58,0.9998119467540667
59,0.9998388115034857
60,0.9998522438781953
61,0.9998522438781952
62,0.9998656762529048
63,0.9998791086276142
64,0.9998925410023237
65,0.9998925410023237
66,0.9999059733770334
67,0.9999059733770334
68,0.9999059733770334
69,0.9999059733770334
70,0.9999059733770334
71,0.9999059733770334
72,0.9999059733770334
73,0.9999194057517429
74,0.9999194057517429
75,0.9999194057517429
76,0.9999328381264524
77,0.9999328381264524
78,0.9999328381264524
79,0.9999328381264524
80,0.9999462705011619
81,0.9999597028758714
82,0.9999597028758714
83,0.999973135250581
84,0.999973135250581
85,0.999973135250581
86,0.999973135250581
87,0.9999865676252905
88,0.9999865676252905
89,0.9999865676252905
90,0.9999865676252905
91,0.9999865676252905
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
